NodeID,Y,Z,Displacement,Stress_L1,Stress_L2,Stress_L4
2,99.9435,-99.9436,4.33E+00,1.21E+02,4.23E+01,1.37E+02
3,99.9466,-93.274,4.56E+00,1.22E+02,4.37E+01,1.39E+02
4,99.9518,-86.6064,4.78E+00,1.21E+02,4.53E+01,1.38E+02
5,99.9588,-79.9406,4.98E+00,1.17E+02,4.71E+01,1.34E+02
6,99.9673,-73.2764,5.17E+00,1.12E+02,4.90E+01,1.29E+02
7,99.9769,-66.6137,5.34E+00,1.06E+02,5.09E+01,1.22E+02
8,99.9869,-59.9517,5.49E+00,9.94E+01,5.28E+01,1.15E+02
9,99.997,-53.2905,5.64E+00,9.34E+01,5.46E+01,1.08E+02
10,100.007,-46.6296,5.76E+00,8.80E+01,5.63E+01,1.02E+02
11,100.016,-39.9688,5.87E+00,8.34E+01,5.79E+01,9.53E+01
12,100.024,-33.3079,5.97E+00,7.95E+01,5.96E+01,8.94E+01
13,100.03,-26.6471,6.05E+00,7.65E+01,6.12E+01,8.39E+01
14,100.036,-19.986,6.11E+00,7.41E+01,6.29E+01,7.86E+01
15,100.039,-13.3248,6.15E+00,7.23E+01,6.47E+01,7.35E+01
16,100.042,-6.66362,6.18E+00,7.10E+01,6.66E+01,6.86E+01
17,100.042,-0.00235676,6.18E+00,7.00E+01,6.87E+01,6.39E+01
18,100.041,6.65886,6.17E+00,6.92E+01,7.11E+01,5.94E+01
19,100.037,13.32,6.14E+00,6.87E+01,7.39E+01,5.51E+01
20,100.033,19.981,6.09E+00,6.82E+01,7.70E+01,5.09E+01
21,100.026,26.6418,6.02E+00,6.77E+01,8.07E+01,4.69E+01
22,100.019,33.3024,5.94E+00,6.73E+01,8.50E+01,4.30E+01
23,100.01,39.9629,5.84E+00,6.67E+01,9.00E+01,3.93E+01
24,100,46.6233,5.73E+00,6.61E+01,9.56E+01,3.56E+01
25,99.9898,53.2839,5.59E+00,6.53E+01,1.02E+02,3.21E+01
26,99.9791,59.9448,5.45E+00,6.44E+01,1.09E+02,2.86E+01
27,99.9686,66.6063,5.29E+00,6.31E+01,1.16E+02,2.53E+01
28,99.9588,73.2689,5.11E+00,6.17E+01,1.22E+02,2.21E+01
29,99.9502,79.9328,4.92E+00,6.02E+01,1.28E+02,1.91E+01
30,99.9433,86.5985,4.72E+00,5.85E+01,1.32E+02,1.66E+01
31,99.9384,93.2662,4.50E+00,5.69E+01,1.33E+02,1.47E+01
32,99.9357,99.9359,4.27E+00,5.54E+01,1.32E+02,1.36E+01
33,93.2656,99.9382,4.50E+00,5.68E+01,1.34E+02,1.46E+01
34,86.5976,99.9428,4.72E+00,5.84E+01,1.33E+02,1.64E+01
35,79.9316,99.9494,4.92E+00,6.00E+01,1.29E+02,1.89E+01
36,73.2674,99.9579,5.11E+00,6.15E+01,1.24E+02,2.18E+01
37,66.6047,99.9677,5.29E+00,6.29E+01,1.17E+02,2.50E+01
38,59.943,99.9782,5.45E+00,6.41E+01,1.10E+02,2.84E+01
39,53.282,99.9889,5.60E+00,6.50E+01,1.03E+02,3.19E+01
40,46.6215,99.9994,5.73E+00,6.58E+01,9.67E+01,3.55E+01
41,39.961,100.009,5.85E+00,6.64E+01,9.07E+01,3.92E+01
42,33.3005,100.018,5.95E+00,6.69E+01,8.55E+01,4.30E+01
43,26.6399,100.026,6.03E+00,6.73E+01,8.11E+01,4.70E+01
44,19.9792,100.033,6.10E+00,6.77E+01,7.73E+01,5.10E+01
45,13.3183,100.037,6.14E+00,6.81E+01,7.40E+01,5.51E+01
46,6.65723,100.041,6.18E+00,6.86E+01,7.12E+01,5.94E+01
47,-0.00393073,100.042,6.19E+00,6.93E+01,6.88E+01,6.39E+01
48,-6.66515,100.042,6.18E+00,7.02E+01,6.67E+01,6.85E+01
49,-13.3263,100.04,6.16E+00,7.15E+01,6.48E+01,7.33E+01
50,-19.9875,100.037,6.12E+00,7.33E+01,6.30E+01,7.83E+01
51,-26.6486,100.032,6.06E+00,7.57E+01,6.14E+01,8.36E+01
52,-33.3094,100.025,5.98E+00,7.88E+01,5.97E+01,8.91E+01
53,-39.9702,100.017,5.88E+00,8.26E+01,5.81E+01,9.49E+01
54,-46.631,100.008,5.77E+00,8.72E+01,5.64E+01,1.01E+02
55,-53.2918,99.9983,5.64E+00,9.26E+01,5.47E+01,1.08E+02
56,-59.9529,99.9881,5.50E+00,9.85E+01,5.30E+01,1.15E+02
57,-66.6146,99.9778,5.34E+00,1.05E+02,5.11E+01,1.21E+02
58,-73.2771,99.9681,5.17E+00,1.11E+02,4.92E+01,1.28E+02
59,-79.941,99.9593,4.98E+00,1.16E+02,4.73E+01,1.33E+02
60,-86.6066,99.952,4.78E+00,1.20E+02,4.55E+01,1.37E+02
61,-93.274,99.9467,4.56E+00,1.21E+02,4.38E+01,1.38E+02
62,-99.9436,99.9435,4.33E+00,1.20E+02,4.25E+01,1.37E+02
63,-99.9465,93.2736,4.57E+00,1.22E+02,4.38E+01,1.39E+02
64,-99.9516,86.6056,4.79E+00,1.21E+02,4.54E+01,1.38E+02
65,-99.9586,79.9397,4.99E+00,1.17E+02,4.71E+01,1.35E+02
66,-99.9673,73.2755,5.18E+00,1.12E+02,4.90E+01,1.29E+02
67,-99.977,66.6127,5.35E+00,1.06E+02,5.09E+01,1.22E+02
68,-99.9873,59.9509,5.51E+00,9.93E+01,5.28E+01,1.15E+02
69,-99.9977,53.2897,5.65E+00,9.31E+01,5.45E+01,1.08E+02
70,-100.008,46.6289,5.78E+00,8.76E+01,5.62E+01,1.01E+02
71,-100.017,39.9682,5.89E+00,8.29E+01,5.79E+01,9.48E+01
72,-100.025,33.3074,5.99E+00,7.90E+01,5.95E+01,8.89E+01
73,-100.032,26.6466,6.07E+00,7.59E+01,6.11E+01,8.33E+01
74,-100.037,19.9856,6.13E+00,7.36E+01,6.28E+01,7.79E+01
75,-100.041,13.3245,6.17E+00,7.18E+01,6.45E+01,7.29E+01
76,-100.043,6.66325,6.19E+00,7.05E+01,6.64E+01,6.80E+01
77,-100.044,0.00202609,6.20E+00,6.96E+01,6.85E+01,6.34E+01
78,-100.042,-6.65915,6.19E+00,6.89E+01,7.09E+01,5.90E+01
79,-100.039,-13.3202,6.15E+00,6.83E+01,7.36E+01,5.47E+01
80,-100.034,-19.9811,6.10E+00,6.79E+01,7.68E+01,5.06E+01
81,-100.028,-26.6418,6.04E+00,6.74E+01,8.05E+01,4.67E+01
82,-100.02,-33.3023,5.95E+00,6.70E+01,8.49E+01,4.28E+01
83,-100.011,-39.9627,5.85E+00,6.65E+01,9.00E+01,3.91E+01
84,-100.001,-46.623,5.73E+00,6.59E+01,9.58E+01,3.54E+01
85,-99.9902,-53.2834,5.60E+00,6.51E+01,1.02E+02,3.18E+01
86,-99.9793,-59.9443,5.45E+00,6.41E+01,1.09E+02,2.83E+01
87,-99.9687,-66.6058,5.29E+00,6.29E+01,1.17E+02,2.49E+01
88,-99.9588,-73.2682,5.11E+00,6.15E+01,1.23E+02,2.17E+01
89,-99.9501,-79.9323,4.92E+00,6.00E+01,1.29E+02,1.87E+01
90,-99.9433,-86.5982,4.72E+00,5.84E+01,1.33E+02,1.62E+01
91,-99.9386,-93.266,4.50E+00,5.69E+01,1.33E+02,1.44E+01
92,-99.9361,-99.936,4.27E+00,5.55E+01,1.32E+02,1.33E+01
93,-93.2664,-99.9387,4.50E+00,5.69E+01,1.33E+02,1.45E+01
94,-86.5989,-99.9437,4.72E+00,5.85E+01,1.31E+02,1.64E+01
95,-79.9334,-99.9508,4.92E+00,6.02E+01,1.27E+02,1.90E+01
96,-73.2696,-99.9596,5.11E+00,6.18E+01,1.22E+02,2.20E+01
97,-66.6074,-99.9696,5.29E+00,6.32E+01,1.15E+02,2.52E+01
98,-59.946,-99.9803,5.45E+00,6.44E+01,1.08E+02,2.85E+01
99,-53.2852,-99.9911,5.60E+00,6.53E+01,1.01E+02,3.20E+01
100,-46.6249,-100.002,5.73E+00,6.61E+01,9.48E+01,3.55E+01
101,-39.9645,-100.011,5.84E+00,6.68E+01,8.92E+01,3.91E+01
102,-33.304,-100.02,5.95E+00,6.73E+01,8.43E+01,4.28E+01
103,-26.6435,-100.028,6.03E+00,6.78E+01,8.01E+01,4.66E+01
104,-19.9827,-100.034,6.10E+00,6.83E+01,7.65E+01,5.05E+01
105,-13.3218,-100.039,6.15E+00,6.88E+01,7.34E+01,5.46E+01
106,-6.66069,-100.042,6.18E+00,6.94E+01,7.07E+01,5.89E+01
107,0.00052979,-100.043,6.19E+00,7.01E+01,6.83E+01,6.34E+01
108,6.66178,-100.043,6.18E+00,7.11E+01,6.62E+01,6.80E+01
109,13.323,-100.04,6.16E+00,7.25E+01,6.44E+01,7.29E+01
110,19.9841,-100.036,6.12E+00,7.43E+01,6.26E+01,7.81E+01
111,26.6452,-100.031,6.06E+00,7.66E+01,6.09E+01,8.34E+01
112,33.306,-100.024,5.98E+00,7.98E+01,5.93E+01,8.91E+01
